Designator,Mid X,Mid Y,Rotation,Layer
C1,27.612,39.223748,270.0,top
C2,21.698,46.723748,270.0,top
C3,19.793,46.736748,270.0,top
C4,17.888,46.736748,270.0,top
C5,17.912,42.223748,0.0,top
C6,27.352,31.663748,180.0,top
C7,27.352,34.203748,180.0,top
C8,24.492,23.73,0.0,top
D1,28.175,45.760748,90.0,top
D2,34.144,23.654,90.0,top
F1,33.636,32.933748,0.0,top
H1,3.0,47.0,0.0,top
H2,47.0,47.0,0.0,top
H3,47.0,3.0,0.0,top
H4,3.0,3.0,0.0,top
H5,7.0,47.0,0.0,top
H6,43.0,47.0,0.0,top
H7,43.0,3.0,0.0,top
H8,7.0,3.0,0.0,top
J1,6.0,25.0,0.0,top
J2,40.24,37.68,90.0,top
J4,40.24,11.07,90.0,top
J5,29.77774,8.49006,180.0,top
J6,18.34774,8.49006,180.0,top
J7,40.24,24.98,90.0,top
L1,24.458,46.723748,270.0,top
Q1,32.328,27.286,180.0,top
R1,17.912,40.282748,0.0,top
R2,21.698,34.838748,180.0,top
R3,17.912,38.123748,180.0,top
R4,17.912,44.123748,0.0,top
R5,26.27,17.126,90.0,top
R6,23.984,17.126,90.0,top
R7,21.952,17.126,90.0,top
R8,31.058,21.952,180.0,top
R9,31.058,24.238,180.0,top
U1,23.222,40.553748,90.0,top
U2,24.492,21.444,90.0,top
